Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-07-19,88.5718,88.5718,86.6845,87.0311,916017.11
2018-07-20,87.6087,88.8796,86.3573,87.6087,565213.53
2018-07-23,88.2252,89.8806,87.9553,89.4767,368689.53
2018-07-24,89.8233,93.6738,89.5534,93.4816,1311532.99
2018-07-25,93.5204,93.6553,92.2495,92.8078,509487.44
2018-07-26,93,94.1359,92.7495,93.8476,710283.88
2018-07-27,93.3854,94.0592,92.8272,93.8476,169608.04
2018-07-30,92.5,92.9039,91.4796,92.4223,526666.81
2018-07-31,92.2301,93.366,91.5563,92.9039,785669.58
2018-08-01,92.5,92.9427,90.9592,92.4223,534982
2018-08-02,91.267,91.6524,88.3214,88.5136,674292.59
2018-08-03,88.9563,90.3049,88.3408,89.0146,441233.46
2018-08-06,89.2845,89.3806,88.1097,89.034,186838.91
2018-08-07,90.3427,91.4602,90.0738,91.4602,372481.99
2018-08-08,91.3641,92.0563,88.7641,88.9563,605163.11
2018-08-09,89.6689,90.7476,88.7641,90.4971,409153.08
2018-08-10,89.3806,89.4961,86.8388,86.935,721333.72
2018-08-13,87.1272,87.9942,86.3184,87.3583,344257.93
2018-08-14,88.0903,88.1864,85.9718,86.1068,433373.53
2018-08-16,85.2981,85.2981,83.1806,84.7204,707499.79
2018-08-17,85.1058,85.3942,79.9262,80.8699,1143703.76
2018-08-20,81.9291,82.5068,80.0417,80.6777,615992.53
2018-08-21,81.1777,83.7583,81.0621,83.5078,712110.07
2018-08-22,83.2767,84.4126,82.7951,84.0087,396099.89
2018-08-23,83.0845,83.9117,82.834,83.5078,611227.75
2018-08-24,83.7777,85.3757,83.4689,84.7786,418885.55
2018-08-27,85.433,88.7447,85.3563,88.7447,528930.75
2018-08-28,88.7641,90.3049,88.2058,89.8039,609893.9
2018-08-29,89.4379,90.1311,88.7068,89.4573,445329.77
2018-08-30,89.0146,89.9,88.3796,88.7447,595054.69
2018-08-31,88.5718,88.668,87.2427,87.4165,654819.41
2018-09-03,87.1272,90.2087,87.0699,89.2456,408879.1
2018-09-04,88.5718,89.8039,84.5282,84.7592,904406.95
2018-09-05,84.9136,85.6641,83.0262,83.9505,713383.15
2018-09-06,84.5282,86.4534,83.835,83.835,472634.04
2018-09-07,84.1243,84.432,80.2922,81.5049,773218.94
2018-09-10,81.7359,83.1029,80.6777,82.3136,336473.19
2018-09-11,83.8932,83.9505,79.4447,79.4835,712643.61
2018-09-12,80.1767,81.7942,78.6553,79.965,769055.68
2018-09-13,81.7359,83.2961,80.9466,81.4476,659410.12
2018-09-14,81.833,82.5068,80.8893,81.6786,313281.71
2018-09-17,80.7738,81.1971,79.4835,79.8107,523678.78
2018-09-18,80.4845,82.3524,80.1,82.3136,537089.38
2018-09-19,83.3728,85.3757,82.6602,84.1427,838962.81
2018-09-20,84.1427,85.1641,83.3922,83.9311,511377.49
2018-09-21,85.2019,87.2243,85.2019,86.165,3943820.56
2018-09-24,85.7796,87.5893,85.4913,87.4738,544037.76
2018-09-25,86.5495,88.3408,86.3,87.6864,686046.95
2018-09-26,87.532,89.9194,87.532,89.4379,812199.29
2018-09-27,88.5913,88.8223,86.2612,86.9544,747068.27
2018-09-28,87.0117,87.5709,84.0466,85.7796,772472.19
2018-10-01,85.8951,87.1272,84.8175,86.0301,355588.96
2018-10-02,85.5874,87.3398,84.432,87.0117,499225.55
2018-10-03,87.2243,87.9359,86.8583,87.0311,238717.95
2018-10-04,86.8961,87.0505,85.2981,85.2981,326478.07
2018-10-05,85.3175,85.568,82.9874,83.6427,441829.83
2018-10-08,83.4311,84.432,82.699,83.5466,312115.75
2018-10-09,85.067,85.8757,83.2961,84.0272,400856.43
2018-10-10,84.6825,84.7204,82.1214,82.3136,384230.17
2018-10-11,80.7544,82.1786,78.0777,81.4476,1228817.81
2018-10-12,82.3136,84.1049,81.6786,82.2175,559594.88
2018-10-15,82.6029,82.6223,80.4845,80.6583,495301.25
2018-10-16,81.6398,83.3534,80.4845,80.7738,1212787.92
2018-10-17,81.4476,82.1786,80.3883,81.0621,573719.27
2018-10-18,80.5039,81.332,79.9068,81.0243,366415.29
2018-10-19,80.8893,81.5243,80.0029,81.4864,317361.54
2018-10-22,82.3524,82.9689,81.6981,82.5447,362429.19
2018-10-23,81.6398,81.967,79.7534,79.8495,523871.39
2018-10-24,80.3883,80.6583,79.4252,79.9068,300153.33
2018-10-25,79.2913,81.0049,78.2893,80.4078,534352.67
2018-10-26,80.1961,80.5039,79.233,79.6563,557720.28
2018-10-29,80.1,82.4097,80.0029,81.0049,498199.67
2018-10-30,81.4476,82.2942,80.8117,81.5437,574811.07
2018-10-31,81.8515,84.7019,81.5631,83.6427,986412.46
2018-11-02,86.5689,87.9942,86.5495,86.8961,1253260.74
2018-11-05,86.2612,87.5709,85.5874,86.9738,477970.47
2018-11-06,86.8388,86.935,84.9136,85.8379,366829.35
2018-11-07,86.0689,88.5718,85.8184,87.3971,602964.06
2018-11-08,87.6087,87.8019,85.799,87.5709,515395.52
2018-11-09,86.165,87.2621,85.3369,85.9718,511969.74
2018-11-13,85.9718,94.3097,85.6835,89.534,1862107.13
2018-11-14,89.4961,89.5155,87.8019,87.8019,445036.22
2018-11-15,87.6087,88.5718,85.9146,86.6466,631717.54
2018-11-16,87.4165,88.8408,86.6466,87.8019,568774.24
2018-11-19,87.8204,89.1495,86.5495,87.8398,515934.21
2018-11-20,87.3204,87.3398,85.2981,85.5097,758506.42
2018-11-21,86.1068,87.4932,85.9534,87.2621,580940.6
2018-11-22,87.2243,87.9359,85.8951,87.7825,316713.67
2018-11-23,87.3777,87.7437,85.7029,86.5883,263720.17
2018-11-26,86.2612,87.1854,84.5282,84.8175,418005.93
2018-11-27,84.8942,85.7796,83.6039,84.0466,445086.69
2018-11-28,84.933,86.8388,84.7981,86.5495,479611.26
2018-11-29,87.2243,88.0709,86.3573,86.9155,567742.18
2018-11-30,86.9155,86.9155,85.9718,86.3767,726342.61
2018-12-03,88.5718,91.0748,88.2825,90.0155,1129758.59
2018-12-04,89.4767,89.9194,88.5136,89.1495,648935.02
2018-12-05,88.1864,88.9563,87.4165,88.5718,395201.73
2018-12-06,87.6087,87.9359,85.9718,85.9913,700148.68
2018-12-07,86.5689,86.8388,84.8175,85.6835,649079.22
2018-12-10,85.1447,85.3757,82.6029,82.6029,501866.47
2018-12-11,83.4311,84.6243,82.9874,83.8544,565478.24
2018-12-12,84.3359,85.6447,83.8544,85.6447,445075.36
2018-12-13,86.165,87.5709,85.8757,87.0311,626674.66
2018-12-14,85.8757,87.1466,84.8748,87.1466,576375.64
2018-12-17,86.5495,87.5126,86.2029,86.434,435864.07
2018-12-18,86.1845,86.2417,84.4515,85.6068,479135.4
2018-12-19,85.4913,87.3398,85.4913,86.3379,557427.76
2018-12-20,85.1058,86.3573,84.4515,86.1262,528444.59
2018-12-21,86.1262,86.2223,84.6437,85.3942,925559.03
2018-12-27,86.0689,86.3573,84.7204,85.2019,289162.2
2018-12-28,85.2796,86.4155,84.9136,85.568,245714.74
2019-01-02,84.7204,86.1068,82.9107,85.8563,537561.12
2019-01-03,85.1058,85.7602,82.9107,82.9107,557524.58
2019-01-04,84.2398,85.2796,84.1427,85.1252,514207.93
2019-01-07,85.6641,87.2816,85.5097,87.2816,432056.16
2019-01-08,86.8388,87.301,85.8757,86.3,432216.84
2019-01-09,87.1272,88.5718,86.9155,88.5718,836031.43
2019-01-10,88.167,88.5718,87.6087,88.5718,283497.2
2019-01-11,89.0146,89.8806,85.6835,86.6078,585690.96
2019-01-14,85.8184,86.5495,84.7786,86.3961,364873.38
2019-01-15,87.166,88.3214,86.5689,88.033,451859.97
2019-01-16,88.3796,89.1107,86.0689,88.3214,431476.27
2019-01-17,88.3214,88.4757,87.2243,88.1097,336446.41
2019-01-18,88.3796,89.4379,87.3583,89.034,625641.57
2019-01-21,88.4563,89.4379,87.1466,87.8019,319948.9
2019-01-22,87.2816,87.8786,86.7621,87.5893,413122.7
2019-01-23,87.2243,88.1291,87.0893,87.5126,464340.48
2019-01-24,87.3204,88.5524,86.6466,88.1864,422929.33
2019-01-25,88.5524,89.0146,87.6476,88.5718,567773.08
2019-01-28,88.5136,88.8602,87.5515,88.4563,306887.47
2019-01-29,88.4757,90.9592,87.7825,89.4379,925502.38
2019-01-30,89.4379,91.3641,89.1874,89.8427,803786.25
2019-01-31,90.9019,91.3641,90.2466,90.6515,742556.87
2019-02-01,90.3427,92.3262,90.0738,92.3262,537837.16
2019-02-04,92.134,93.2699,91.0748,92.1718,501187.7
2019-02-05,92.9039,95.4456,92.6534,95.4456,783633.27
2019-02-06,95.3107,96.235,94.0592,94.7136,505743.39
2019-02-07,94.1359,94.3291,92.4223,93,423980.96
2019-02-08,92.865,92.9806,90.9204,90.9204,559170.52
2019-02-11,91.0553,92.5,89.0534,89.0534,774167.57
2019-02-12,89.8806,91.8068,89.8806,91.8068,628389.61
2019-02-13,91.999,92.9806,91.5951,92.7883,632072.89
2019-02-14,92.9621,93.7709,89.1107,90.0155,739570.9
2019-02-15,90.0155,92.5961,89.9583,91.9029,518244.5
