Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-18,84.535,84.535,78.666,80.427,175857
2018-05-21,81.051,81.903,79.329,81.79,156369
2018-05-22,82.055,83.778,80.275,82.547,208072
2018-05-23,81.411,81.411,77.322,78.193,382453
2018-05-24,78.571,79.745,77.151,78.477,137610
2018-05-25,79.007,79.082,77.606,78.571,94680
2018-05-28,77.909,80.256,77.909,79.934,72560
2018-05-29,79.499,79.897,77.606,79.669,118629
2018-05-30,78.761,79.878,76.905,78.969,402182
2018-06-01,79.461,79.461,76.792,79.385,82324
2018-06-04,79.007,80.843,79.007,79.991,114953
2018-06-05,80.37,82.509,79.101,82.036,176298
2018-06-06,82.926,86.94,82.926,84.952,309131
2018-06-07,85.671,87.47,85.387,86.05,131712
2018-06-08,85.614,86.618,84.535,86.144,107330
2018-06-11,85.198,86.58,83.948,85.804,184766
2018-06-12,86.258,86.258,84.156,84.327,104269
2018-06-13,84.289,84.724,81.733,84.005,225242
2018-06-14,82.831,83.872,82.32,83.304,190173
2018-06-15,83.286,84.156,81.506,81.979,303585
2018-06-18,81.941,81.979,77.17,77.53,216241
2018-06-19,75.959,76.678,74.974,75.637,184159
2018-06-20,76.678,78.571,76.489,76.867,116365
2018-06-21,77.681,78.287,75.069,75.466,150898
2018-06-22,75.637,76.848,74.671,75.826,132036
2018-06-25,75.731,78.458,74.595,75.088,126882
2018-06-26,75.258,76.129,73.838,73.914,165642
2018-06-27,73.914,74.785,73.043,74.482,119635
2018-06-28,73.459,74.387,71.623,72.248,142488
2018-06-29,72.418,74.785,72.418,72.607,184454
2018-07-02,72.304,72.38,70.449,71.661,93875
2018-07-03,71.85,74.027,71.85,73.365,140714
2018-07-04,73.838,74.217,72.702,73.459,70172
2018-07-05,74.406,74.406,72.702,72.74,173519
2018-07-06,73.914,73.914,70.525,70.714,205212
2018-07-09,73.005,73.005,69.9,70.089,112744
2018-07-10,70.809,74.785,70.809,73.781,299811
2018-07-11,71.945,73.365,71.244,71.604,201899
2018-07-12,72.248,72.778,70.241,70.809,98252
2018-07-13,70.809,71.282,70.051,70.695,106126
2018-07-16,71.169,72.02,70.828,71.471,81519
2018-07-17,71.377,71.755,70.146,71.377,127375
2018-07-18,71.85,73.422,71.131,72.02,97125
