Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-07-18,49.6036,50.2586,49.1351,50.2586,5811.9082566972
2018-07-19,50.5397,51.0072,48.9486,50.5397,7209.1926603228
2018-07-20,50.5397,50.5397,48.6675,50.5397,5981.3394493524
2018-07-23,50.1649,50.5397,49.9775,50.3523,2367.8532109344
2018-07-24,50.3523,50.5397,49.8838,50.5397,5685.3577979856
2018-07-25,50.5397,50.5397,49.7901,50.5397,3292.4036696208
2018-07-26,50.6324,52.1307,50.0712,52.1307,43451.779815142
2018-07-27,52.4108,54.0019,52.4108,54.0019,20675.834861732
2018-07-30,53.8144,56.9037,53.8144,56.6226,22784.311925886
2018-07-31,57.2776,58.3074,56.3415,58.0262,18249.41284346
2018-08-01,58.0262,58.0262,57.0902,57.465,10805.944953787
2018-08-02,57.0902,57.1839,54.3767,55.874,9768.440366664
2018-08-03,55.4064,56.1551,55.0316,56.1551,3749.449541166
2018-08-06,55.219,56.5289,55.219,56.1551,15552.110091252
2018-08-07,56.1551,56.81,54.7505,55.6866,10998.385320754
2018-08-08,55.3127,55.5929,54.283,55.219,6029.449541094
2018-08-09,54.4704,56.1551,54.4704,56.1551,2639.7798164304
2018-08-10,55.9677,56.1551,53.628,55.6866,10518.330274897
2018-08-13,56.1551,56.1551,53.9081,55.5929,11989.871559254
2018-08-14,55.6866,56.1551,55.219,55.9677,3423.1376145708
2018-08-16,55.9677,55.9677,53.8144,55.9677,6116.2568805408
2018-08-17,55.219,56.1551,53.7217,56.1551,12771.137614276
2018-08-20,56.1551,56.2478,55.219,56.1551,3599.8899081432
2018-08-21,55.6866,56.1551,55.1253,56.1551,19374.77064159
2018-08-22,56.0614,56.5289,54.7505,55.874,14030.366972034
2018-08-23,56.0614,56.0614,55.4992,55.5929,10781.889907916
2018-08-24,55.5929,55.9677,55.5929,55.9677,2784.1100916552
2018-08-27,54.7505,56.1551,54.7505,56.0614,13207.266054629
2018-08-28,56.0614,56.0614,55.6866,56.0614,6802.3486236384
2018-08-29,55.9677,56.0614,54.9379,56.0614,4840.2935778288
2018-08-30,56.0614,56.0614,54.7505,55.5929,9266.422018056
2018-08-31,55.6866,55.6866,54.6568,55.6866,12321.412843648
2018-09-03,55.6866,55.6866,53.9081,54.3767,2849.99999991
2018-09-04,53.628,55.6866,53.628,55.0316,2858.3669723868
2018-09-05,54.283,54.283,52.4108,53.628,6013.7614677
2018-09-06,53.4406,53.4406,50.5397,51.382,11469.027522574
2018-09-07,51.382,52.2234,47.6378,49.6036,12250.293577595
2018-09-10,48.6675,50.446,45.5792,46.5153,17584.238531555
2018-09-11,46.7486,48.5738,43.5197,46.3747,67232.807337326
2018-09-12,47.4504,49.4162,47.3567,49.4162,65222.642199775
2018-09-13,48.9486,51.8496,48.9486,51.6622,66615.743117162
2018-09-14,52.4108,54.1893,52.4108,53.3469,71424.660548203
2018-09-17,53.3469,54.1893,52.973,53.9081,6754.2385318968
2018-09-18,53.9081,55.6866,53.9081,55.4992,45426.385319666
2018-09-19,55.4992,55.6866,54.5641,55.6866,9458.8623850224
2018-09-20,55.5929,55.6866,55.0316,55.6866,15038.587155488
2018-09-21,55.6866,57.465,55.4064,57.465,48912.275227813
2018-09-24,56.1551,57.9325,55.5929,56.1551,12870.495412438
2018-09-25,56.1551,56.81,55.7803,56.0614,7426.7339447196
2018-09-26,56.0614,56.0614,54.9379,55.6866,7652.6422015932
2018-09-27,55.7803,56.5289,55.7803,56.5289,6653.8348621752
2018-09-28,56.6226,56.6226,55.4064,56.1551,7229.0642199552
2018-10-01,56.1551,56.9974,55.5929,56.1551,7775.0091740664
2018-10-02,56.0614,56.1551,55.7803,55.874,152704.56880252
2018-10-03,55.874,56.1551,55.6866,56.0614,2110.5688072728
